# Part 4 §11 — 100 capability presets — name|prompt|duration|strength
grv_htswitch|hip hop, 140 BPM, key of F minor, loop, trap, half time switch, 808 heavy, sub bass, dark, hard hitting, hypnotic|30|0.7
mood_dark|hip hop, 140 BPM, key of F# minor, loop, trap, dark, ominous, eerie, 808 heavy, sub bass, distorted, tense|45|0.65
mood_cinematic|hip hop, 128 BPM, key of D minor, full track, trap, cinematic, epic, dark, string section, 808 heavy, sub bass|45|0.65
mood_dreamy|hip hop, 78 BPM, key of C major, loop, mellow, dreamy, ethereal, spacey, warm, lush, melodic, reverb drenched|45|0.65
mood_nostalgic|hip hop, 82 BPM, key of E minor, loop, lofi, nostalgic, warm, dusty vinyl, melancholic, mellow, melodic|45|0.65
mood_triumphant|hip hop, 92 BPM, key of A major, full track, boom bap, triumphant, uplifting, brass stabs, soulful, warm, melodic|45|0.65
mood_eerie|hip hop, 144 BPM, key of B minor, loop, drill, eerie, dark, ominous, 808 heavy, sub bass, distorted, tense|45|0.65
mood_melancholic|hip hop, 80 BPM, key of D minor, loop, mellow, melancholic, dark, warm, dusty vinyl, melodic, hypnotic|45|0.65
mood_spacey|hip hop, 88 BPM, key of F minor, loop, mellow, spacey, ambient, dreamy, reverb drenched, hypnotic, melodic|45|0.65
mood_tense|hip hop, 142 BPM, key of C minor, full track, drill, tense, dark, building, 808 heavy, sub bass, distorted, eerie|45|0.65
mood_ethereal|hip hop, 76 BPM, key of A minor, loop, mellow, ethereal, dreamy, lush, warm, spacey, melodic, laid back|45|0.65
mood_ominous|hip hop, 136 BPM, key of G minor, loop, trap, ominous, dark, tense, 808 heavy, sub bass, hypnotic, distorted|45|0.65
mood_warmsoul|hip hop, 86 BPM, key of E major, loop, boom bap, soulful, warm, uplifting, dusty vinyl, melodic, nostalgic|45|0.65
mood_epic|hip hop, 130 BPM, key of D minor, full track, trap, epic, cinematic, dark, string section, 808 heavy, sub bass|45|0.65
mood_cold|hip hop, 140 BPM, key of B minor, loop, drill, cold, dark, eerie, 808 heavy, sub bass, distorted, minimal|45|0.65
mood_hopeful|hip hop, 90 BPM, key of C major, loop, boom bap, uplifting, warm, soulful, bright, dusty vinyl, melodic|45|0.65
mood_haunting|hip hop, 138 BPM, key of F minor, loop, trap, haunting, eerie, dark, 808 heavy, sub bass, hypnotic, reverb drenched|45|0.65
mood_lush|hip hop, 80 BPM, key of A major, loop, mellow, lush, warm, dreamy, romantic, melodic, laid back|45|0.65
mood_grim|hip hop, 145 BPM, key of D minor, loop, drill, grim, dark, ominous, gritty, 808 heavy, sub bass, distorted|45|0.65
mood_bittersweet|hip hop, 84 BPM, key of E minor, loop, lofi, bittersweet, melancholic, nostalgic, warm, dusty vinyl, melodic|45|0.65
mood_grand|hip hop, 126 BPM, key of C minor, full track, trap, grand, cinematic, epic, dark, choir, 808 heavy, sub bass|45|0.65
